epoch,step,train_loss
0,49,0.013931813649833202
1,99,0.007158189546316862
1,149,0.0006614676676690578
2,199,0.00027084004250355065
3,249,0.0003538212622515857
3,299,0.00015231134602800012
4,349,0.0001791598042473197
5,399,0.00033736368641257286
5,449,0.00010185122664552182
6,499,0.0001325310586253181
6,549,0.00020564002625178546
7,599,7.31267937226221e-05
8,649,0.0001878433395177126
8,699,5.596386836259626e-05
9,749,0.00018496617849450558
10,799,7.90922567830421e-05
10,849,0.00011934863141505048
11,899,7.324279431486502e-05
12,949,9.005214087665081e-05
12,999,0.00010354679398005828
13,1049,9.857525583356619e-05
13,1099,7.605912833241746e-05
14,1149,5.2245868573663756e-05
15,1199,0.00012308842269703746
15,1249,5.8971199905499816e-05
16,1299,9.717598732095212e-05
17,1349,9.501304884906858e-05
17,1399,7.291867950698361e-05
18,1449,0.00011214808182558045
18,1499,8.269561658380553e-05
19,1549,0.00010075187310576439
20,1599,6.695333286188543e-05
20,1649,3.37946112267673e-05
21,1699,3.607926919357851e-05
22,1749,3.218224082957022e-05
22,1799,3.654887404991314e-05
23,1849,8.951043128035963e-05
24,1899,5.9077614423586056e-05
24,1949,5.180404332350008e-05
25,1999,4.8163456085603684e-05
25,2049,1.9228575183660723e-05
26,2099,3.1927160307532176e-05
27,2149,3.0198998501873575e-05
27,2199,4.119022560189478e-05
28,2249,3.0572187824873254e-05
29,2299,2.0294482965255156e-05
29,2349,4.705485116573982e-05
30,2399,2.9512269975384697e-05
31,2449,4.9017206038115546e-05
31,2499,1.2384603905957192e-05
32,2549,1.1710324542946182e-05
32,2599,7.358968105108943e-06
33,2649,2.717307143029757e-05
34,2699,1.1913699381693732e-05
34,2749,2.480244256730657e-05
35,2799,1.53906275954796e-05
36,2849,3.8951144233578816e-05
36,2899,2.5077002646867186e-05
37,2949,9.917313946061768e-06
37,2999,2.0179351849947125e-05
38,3049,9.187790055875666e-06
39,3099,1.0761843441287056e-05
39,3149,6.241991286515258e-06
40,3199,1.702151530480478e-05
41,3249,2.2348531274474226e-05
41,3299,4.5877859520260245e-06
42,3349,1.563700061524287e-05
43,3399,1.3760463843937032e-05
43,3449,1.611738662177231e-05
44,3499,4.292021912988275e-06
44,3549,3.7438618164742365e-05
45,3599,2.2091182472649962e-05
46,3649,6.862077043479076e-06
46,3699,7.162099336710526e-06
47,3749,6.461043085437268e-06
48,3799,2.6536121367826127e-05
48,3849,2.572997345851036e-06
49,3899,9.626965038478374e-06
49,3949,1.0135297088709194e-05
